ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000129167.10,TPH1,TPH1,0.762,-0.775,2.298,-2.086,1.013,0.319116795117277,0.701292395079099,-5.34651964443851
ENSG00000196557.14,CACNA1H,CACNA1H,1.658,-1.687,5.003,-2.303,1.013,0.319185445395193,0.701368908526854,-5.18510869270922
ENSG00000175756.14,AURKAIP1,AURKAIP1,-0.158,-0.478,0.161,5.921,-1.013,0.319239909273077,0.701414236272483,-6.53748600320841
ENSG00000213015.9,ZNF580,ZNF580,-0.185,-0.559,0.188,4.032,-1.013,0.319394176109723,0.701678812076575,-6.25349458386358
ENSG00000083828.16,ZNF586,ZNF586,0.21,-0.214,0.634,2.843,1.013,0.319480248547267,0.70171644829632,-6.00978403700704
ENSG00000115657.14,ABCB6,ABCB6,-0.318,-0.959,0.324,4.458,-1.013,0.319493203941134,0.70171644829632,-6.32766103883911
ENSG00000125835.20,SNRPB,SNRPB,0.274,-0.279,0.826,7.435,1.012,0.319533138101879,0.70171644829632,-6.58980313412032
ENSG00000164749.13,HNF4G,HNF4G,1.124,-1.145,3.393,-0.747,1.012,0.319591680285331,0.70171644829632,-5.21189312747589
ENSG00000149809.17,TM7SF2,TM7SF2,-0.349,-1.055,0.356,4.447,-1.012,0.319612344948724,0.70171644829632,-6.10512599151412
ENSG00000102048.16,ASB9,ASB9,-0.933,-2.818,0.951,0.246,-1.012,0.319676799340015,0.70171644829632,-5.52431218410551
ENSG00000241945.8,PWP2,PWP2,0.76,-0.774,2.294,3.073,1.012,0.319692996554373,0.70171644829632,-6.12793986222611
ENSG00000197119.13,SLC25A29,SLC25A29,-0.316,-0.953,0.322,5.02,-1.012,0.319736146942243,0.70171644829632,-6.33640816269015
ENSG00000157191.20,NECAP2,NECAP2,0.166,-0.17,0.502,6.078,1.012,0.319743521288418,0.70171644829632,-6.5330216895954
ENSG00000185842.16,DNAH14,DNAH14,-0.412,-1.244,0.42,1.575,-1.012,0.319767165018286,0.70171644829632,-5.78750368881969
ENSG00000240849.11,PEDS1,PEDS1,-0.205,-0.619,0.209,6.142,-1.012,0.319798357031509,0.70171644829632,-6.55643014095928
ENSG00000138802.11,SEC24B,SEC24B,-0.12,-0.362,0.122,5.907,-1.012,0.319817511022847,0.70171644829632,-6.54533511000308
ENSG00000143429.13,LSP1P4,LSP1P4,-0.813,-2.456,0.83,-2.054,-1.012,0.319911610071101,0.701848627026556,-5.40978659993519
ENSG00000181004.10,BBS12,BBS12,-0.282,-0.851,0.288,2.982,-1.011,0.320087371163307,0.702159915789984,-5.91461225244539
ENSG00000006125.18,AP2B1,AP2B1,-0.165,-0.5,0.169,8.12,-1.011,0.320209687160605,0.702353911209326,-6.59824373463188
ENSG00000206530.11,CFAP44,CFAP44,-0.851,-2.57,0.869,2.787,-1.011,0.320381595410546,0.702656630645431,-5.69302109090143
ENSG00000169696.16,ASPSCR1,ASPSCR1,0.177,-0.181,0.535,4.115,1.011,0.320417268019489,0.702660527456257,-6.31705665730402
ENSG00000255326.1,,,-0.854,-2.58,0.873,-3.621,-1.01,0.320509945142167,0.702755642439382,-5.24150646718639
ENSG00000274265.5,,,-0.495,-1.495,0.506,1.507,-1.01,0.320543875718495,0.702755642439382,-5.7530591398861
ENSG00000261794.2,GOLGA8H,GOLGA8H,1.037,-1.061,3.135,-2.002,1.01,0.320562342253102,0.702755642439382,-5.40753319233521
ENSG00000166503.9,HDGFL3,HDGFL3,-0.244,-0.736,0.249,5.426,-1.01,0.320683047969404,0.702945922005472,-6.49965377691021
ENSG00000107282.9,APBA1,APBA1,-0.56,-1.695,0.574,2.229,-1.01,0.320833166446322,0.703064579305043,-5.81756611715075
ENSG00000171161.13,ZNF672,ZNF672,-0.338,-1.023,0.346,4.892,-1.01,0.32083958604041,0.703064579305043,-6.35648158446981
ENSG00000292331.1,ASMTL-AS1,ASMTL-AS1,-1.12,-3.386,1.147,-1.528,-1.01,0.320845435621197,0.703064579305043,-5.42273360411801
ENSG00000121406.9,ZNF549,ZNF549,-0.208,-0.628,0.213,2.699,-1.01,0.320872840559817,0.703064579305043,-5.98440530177084
ENSG00000138678.11,GPAT3,GPAT3,-0.611,-1.848,0.627,2.815,-1.009,0.321352763535891,0.704030002269364,-6.10104966204877
ENSG00000167397.15,VKORC1,VKORC1,-0.337,-1.018,0.345,5.181,-1.009,0.321381375372648,0.704030002269364,-6.35511110086979
ENSG00000144481.17,TRPM8,TRPM8,-1.439,-4.355,1.477,-4.436,-1.008,0.321465525263245,0.704139934351973,-5.07470536991847
ENSG00000160410.15,SHKBP1,SHKBP1,0.21,-0.216,0.636,5.618,1.008,0.321553949033014,0.704234099620787,-6.50932562393388
ENSG00000099866.16,MADCAM1,MADCAM1,-0.69,-2.089,0.709,-2.767,-1.008,0.321646090580225,0.704234099620787,-5.31443351334931
ENSG00000197702.14,PARVA,PARVA,0.177,-0.182,0.537,6.44,1.008,0.321657502017986,0.704234099620787,-6.54031047027677
ENSG00000078053.17,AMPH,AMPH,1.105,-1.135,3.345,-1.993,1.008,0.321681025207643,0.704234099620787,-5.18651352344428
ENSG00000273311.1,DGCR11,DGCR11,-0.378,-1.144,0.388,1.414,-1.008,0.321732123286685,0.704234099620787,-5.79392019235924
ENSG00000261359.2,PYCARD-AS1,PYCARD-AS1,-0.75,-2.272,0.771,-1.566,-1.008,0.321745860970447,0.704234099620787,-5.32547407452348
ENSG00000110711.11,AIP,AIP,-0.256,-0.776,0.263,4.559,-1.008,0.321746317294186,0.704234099620787,-6.32215811633375
