ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000177098.9,SCN4B,SCN4B,-0.175,-2.806,2.455,0,-0.136,0.892544094506986,0.999984495355126,-4.63575648275076
ENSG00000109685.19,NSD2,NSD2,-0.043,-0.695,0.608,6.058,-0.136,0.892574574068514,0.999984495355126,-4.89702974411792
ENSG00000128045.7,RASL11B,RASL11B,0.119,-1.671,1.909,-1.717,0.136,0.89257813597748,0.999984495355126,-4.64078650480748
ENSG00000204301.6,NOTCH4,NOTCH4,0.118,-1.651,1.887,0.984,0.136,0.892603050881689,0.999984495355126,-4.63855878740518
ENSG00000114735.10,HEMK1,HEMK1,0.03,-0.427,0.488,3.981,0.136,0.892635967994144,0.999984495355126,-4.77399387139986
ENSG00000161281.11,COX7A1,COX7A1,-0.251,-4.014,3.513,-0.794,-0.136,0.892640331516295,0.999984495355126,-4.6160345644266
ENSG00000169764.16,UGP2,UGP2,0.025,-0.352,0.402,7.228,0.136,0.892671451950211,0.999984495355126,-4.93854708845393
ENSG00000145808.10,ADAMTS19,ADAMTS19,0.208,-2.922,3.339,-3.219,0.136,0.892679376312159,0.999984495355126,-4.62742427551767
ENSG00000077232.19,DNAJC10,DNAJC10,-0.025,-0.407,0.356,7.257,-0.136,0.892712027487156,0.999984495355126,-4.9274573686206
ENSG00000290842.1,,CROCCP3,-0.106,-1.697,1.485,0.191,-0.136,0.892788492213607,0.999984495355126,-4.65153817214436
ENSG00000079387.15,SENP1,SENP1,0.035,-0.488,0.558,4.481,0.136,0.892822163931347,0.999984495355126,-4.81593204728529
ENSG00000185420.19,SMYD3,SMYD3,-0.059,-0.945,0.827,3.494,-0.136,0.89285032494011,0.999984495355126,-4.7109609894566
ENSG00000160862.13,AZGP1,AZGP1,0.128,-1.798,2.054,-0.62,0.136,0.892850706082244,0.999984495355126,-4.68785876303803
ENSG00000196511.15,TPK1,TPK1,0.076,-1.073,1.226,1.561,0.136,0.892852085377093,0.999984495355126,-4.65416939579117
ENSG00000127081.14,ZNF484,ZNF484,0.035,-0.492,0.562,2.535,0.136,0.892864554575725,0.999984495355126,-4.69612556271297
ENSG00000157450.16,RNF111,RNF111,-0.026,-0.424,0.371,5.341,-0.136,0.892894225433744,0.999984495355126,-4.88572581885601
ENSG00000008083.14,JARID2,JARID2,-0.037,-0.586,0.513,5.007,-0.136,0.892906794820844,0.999984495355126,-4.89016449774312
ENSG00000289740.1,TALAM1,TALAM1,-0.074,-1.184,1.037,0.443,-0.136,0.892914222122604,0.999984495355126,-4.69957442476939
ENSG00000177084.19,POLE,POLE,0.047,-0.667,0.762,4.787,0.136,0.892929953614445,0.999984495355126,-4.81834316249334
ENSG00000103460.17,TOX3,TOX3,-0.095,-1.53,1.34,0.047,-0.136,0.892940983571963,0.999984495355126,-4.68238320220618
ENSG00000196712.20,NF1,NF1,-0.026,-0.414,0.362,6.262,-0.136,0.892952539781776,0.999984495355126,-4.92223492942899
ENSG00000169116.11,PARM1,PARM1,0.067,-0.945,1.079,2.959,0.136,0.892974732359222,0.999984495355126,-4.81423019108731
