ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000232838.4,PET117,PET117,-0.414,2.515,-1.992,0.056,0.209,-4.63378794929331
ENSG00000149636.16,DSN1,DSN1,-0.962,3.526,-1.989,0.056,0.209,-4.64434622317798
ENSG00000166821.9,PEX11A,PEX11A,-0.404,3.11,-1.987,0.056,0.21,-4.66791470094054
ENSG00000162227.8,TAF6L,TAF6L,-0.533,3.515,-1.986,0.056,0.21,-4.6764818821029
ENSG00000106003.14,LFNG,LFNG,-1.19,3.015,-1.985,0.056,0.21,-4.72273706574339
ENSG00000169740.14,ZNF32,ZNF32,-0.574,3.936,-1.99,0.056,0.209,-4.74510627439914
ENSG00000123374.11,CDK2,CDK2,-0.548,4.405,-1.99,0.056,0.209,-4.88808493717685
ENSG00000100982.12,PCIF1,PCIF1,0.32,4.613,1.989,0.056,0.209,-4.90944818413086
ENSG00000184967.7,NOC4L,NOC4L,0.318,4.16,1.986,0.056,0.21,-4.98852178982768
ENSG00000254093.9,PINX1,PINX1,0.301,3.856,1.989,0.056,0.209,-5.02424465326957
ENSG00000204227.5,RING1,RING1,-0.371,5.098,-1.992,0.056,0.209,-5.03796333095592
ENSG00000151458.12,ANKRD50,ANKRD50,-0.537,6,-1.989,0.056,0.209,-5.07055315015094
ENSG00000106266.11,SNX8,SNX8,0.461,5.164,1.987,0.056,0.21,-5.11189675867222
ENSG00000176946.13,THAP4,THAP4,-0.277,5.335,-1.986,0.056,0.21,-5.11285131382913
