# TIMESTAMP|SAMPLE_ID|JOBID|STATUS|ELAPSED_TIME|NODE
2026-01-13 17:35:19|sample38|4274825|R|21:08|green07.bwh.harvard.edu
2026-01-13 17:37:19|sample1|4274613|R|48:36|cirrus02.bwh.harvard.edu
2026-01-13 17:37:20|sample2|4274614|R|48:23|cirrus02.bwh.harvard.edu
2026-01-13 17:37:20|sample3|4274615|R|48:11|cirrus02.bwh.harvard.edu
2026-01-13 17:37:20|sample4|4274617|R|47:45|green07.bwh.harvard.edu
2026-01-13 17:37:20|sample5|4274619|R|47:21|green07.bwh.harvard.edu
2026-01-13 17:37:21|sample6|4274622|R|46:56|green07.bwh.harvard.edu
2026-01-13 17:37:21|sample7|4274626|R|46:31|chanstack2.bwh.harvard.edu
2026-01-13 17:37:21|sample8|4274630|R|46:06|chanstack3.bwh.harvard.edu
2026-01-13 17:37:21|sample9|4274633|R|45:38|stratus03.bwh.harvard.edu
2026-01-13 17:37:21|sample10|4274637|R|45:13|stratus03.bwh.harvard.edu
2026-01-13 17:37:22|sample11|4274639|R|44:51|stratus03.bwh.harvard.edu
2026-01-13 17:37:22|sample12|4274642|R|44:26|stratus01.bwh.harvard.edu
2026-01-13 17:37:22|sample13|4274645|R|44:00|stratus01.bwh.harvard.edu
2026-01-13 17:37:22|sample14|4274647|R|43:35|stratus01.bwh.harvard.edu
2026-01-13 17:37:22|sample15|4274651|R|43:10|stratus01.bwh.harvard.edu
2026-01-13 17:37:23|sample16|4274655|R|42:20|derby16.bwh.harvard.edu
2026-01-13 17:37:23|sample17|4274659|R|41:41|cirrus02.bwh.harvard.edu
2026-01-13 17:37:23|sample18|4274664|R|40:52|stratus03.bwh.harvard.edu
2026-01-13 17:37:23|sample38|4274825|R|23:12|green07.bwh.harvard.edu
2026-01-13 17:39:24|sample1|4274613|R|50:41|cirrus02.bwh.harvard.edu
2026-01-13 17:39:24|sample2|4274614|R|50:28|cirrus02.bwh.harvard.edu
2026-01-13 17:39:24|sample3|4274615|R|50:15|cirrus02.bwh.harvard.edu
2026-01-13 17:39:24|sample4|4274617|R|49:49|green07.bwh.harvard.edu
2026-01-13 17:39:25|sample5|4274619|R|49:26|green07.bwh.harvard.edu
2026-01-13 17:39:25|sample6|4274622|R|49:00|green07.bwh.harvard.edu
2026-01-13 17:39:25|sample7|4274626|R|48:35|chanstack2.bwh.harvard.edu
2026-01-13 17:39:25|sample8|4274630|R|48:10|chanstack3.bwh.harvard.edu
2026-01-13 17:39:25|sample9|4274633|R|47:42|stratus03.bwh.harvard.edu
2026-01-13 17:39:26|sample10|4274637|R|47:18|stratus03.bwh.harvard.edu
2026-01-13 17:39:26|sample11|4274639|R|46:55|stratus03.bwh.harvard.edu
2026-01-13 17:39:26|sample12|4274642|R|46:30|stratus01.bwh.harvard.edu
